"catchments" "value"
"360802" 360779
"360803" 360617
"360810" 360874
"360811" 360810
"360814" 360789
"360822" 360439
"360827" 360830
"360828" 360815
"360830" 360975
"360831" 360918
"360832" 360617
"360841" 360794
"360847" 360894
"360848" 360449
"360850" 360908
"360851" 360779
"360852" 360877
"360857" 360605
"360861" 360900
"360874" 360888
"360877" 360955
"360878" 360924
"360885" 361134
"360888" 360941
"360890" 360439
"360891" 360892
"360894" 361114
"360898" 360439
"360900" 360963
"360908" 361042
"360911" 360865
"360912" 360439
"360918" 361047
"360925" 360947
"360927" 360950
"360932" 359292
"360935" 360439
"360941" 361075
"360945" 360794
"360947" 360958
"360949" 360449
"360950" 361033
"360958" 360960
"360964" 360875
"360969" 360758
"360970" 360439
"360974" 360963
"360984" 359292
"360987" 360994
"360988" 360439
"360990" 360439
"360997" 360996
"360998" 360439
"360999" 360960
"361000" 360439
"361008" 361009
"361009" 361177
"361010" 360885
"361014" 360449
"361021" 361057
"361024" 360439
"361026" 361120
"361030" 360986
"361032" 361365
"361033" 361115
"361042" 361072
"361043" 360960
"361047" 361066
"361048" 361047
"361049" 361011
"361050" 360885
"361056" 360878
"361057" 361268
"361064" 361027
"361066" 361099
"361072" 361176
"361074" 360885
"361075" 361157
"361077" 360885
"361079" 360885
"361080" 361122
"361083" 361156
"361092" 361093
"361099" 361095
"361101" 361095
"361103" 361083
"361110" 361121
"361114" 361236
"361115" 361273
"361119" 361194
"361120" 361152
"361125" 361027
"361129" 361080
"361131" 361099
"361136" 361219
"361144" 361099
"361147" 361027
"361151" 361088
"361156" 361216
"361157" 361275
"361158" 361016
"361160" 360449
"361165" 360449
"361166" 361224
"361176" 361257
"361183" 361026
"361204" 361205
"361205" 361373
"361207" 361032
"361213" 361305
"361216" 361276
"361220" 361219
"361221" 361316
"361224" 361303
"361231" 361032
"361236" 361346
"361243" 361310
"361246" 361265
"361254" 360449
"361257" 361380
"361258" 361247
"361259" 359292
"361265" 361277
"361272" 361307
"361273" 361334
"361274" 361245
"361275" 361298
"361280" 361032
"361284" 361201
"361285" 361304
"361295" 359292
"361298" 361490
"361302" 361026
"361304" 361311
"361308" 361387
"361309" 361372
"361310" 361347
"361315" 361382
"361316" 361383
"361317" 360449
"361319" 361032
"361323" 361246
"361326" 361185
"361335" 361334
"361339" 361404
"361346" 361480
"361361" 361032
"361362" 361407
"361365" 361096
"361371" 361032
"361372" 361458
"361376" 361475
"361377" 361026
"361379" 361032
"361380" 361783
"361387" 361520
"361394" 359292
"361395" 360449
"361397" 359292
"361403" 361337
"361404" 361600
"361412" 361032
"361414" 361016
"361423" 361185
"361430" 361554
"361431" 361430
"361436" 360449
"361438" 361374
"361442" 361437
"361449" 361032
"361450" 361455
"361458" 361508
"361460" 361487
"361465" 360449
"361475" 361536
"361477" 360449
"361480" 361506
"361483" 361337
"361501" 361602
"361503" 361487
"361505" 361509
"361506" 361623
"361508" 361638
"361511" 361619
"361516" 361467
"361520" 361530
"361523" 361452
"361528" 361026
"361529" 361026
"361530" 361665
"361535" 359292
"361536" 361605
"361537" 361648
"361538" 361514
"361539" 361185
"361540" 361469
"361542" 359292
"361554" 361573
"361563" 361487
"361579" 361026
"361582" 361622
"361584" 359292
"361586" 361032
"361591" 361533
"361595" 361537
"361598" 361570
"361600" 361663
"361601" 361026
"361605" 361680
"361606" 361032
"361613" 361337
"361614" 361026
"361623" 361677
"361626" 361640
"361629" 361537
"361630" 359292
"361631" 361537
"361635" 361628
"361638" 361639
"361640" 361672
"361663" 361700
"361664" 361736
"361669" 361185
"361672" 361743
"361677" 361734
"361678" 361452
"361681" 361699
"361682" 361677
"361684" 361452
"361694" 361702
"361696" 359292
"361698" 359292
"361701" 361717
"361702" 361841
"361711" 361744
"361713" 361714
"361720" 361032
"361722" 361750
"361734" 361795
"361735" 360449
"361736" 361662
"361738" 361869
"361739" 361032
"361745" 361830
"361746" 361026
"361757" 361570
"361761" 361713
"361776" 361744
"361783" 361788
"361786" 361032
"361788" 361920
"361805" 361533
"361819" 361924
"361820" 360449
"361822" 361570
"361823" 361026
"361825" 361789
"361826" 361032
"361829" 361837
"361831" 361808
"361833" 361674
"361837" 361883
"361838" 361829
"361841" 361804
"361843" 361032
"361844" 361935
"361848" 361711
"361850" 361847
"361856" 361829
"361869" 361897
"361872" 361808
"361874" 361789
"361875" 361866
"361876" 361817
"361883" 361908
"361884" 361883
"361896" 361784
"361897" 362000
"361899" 361711
"361903" 361711
"361906" 361986
"361908" 361982
"361909" 361847
"361910" 361713
"361919" 361722
"361920" 361958
"361921" 361784
"361922" 362006
"361926" 361908
"361933" 361806
"361949" 361570
"361950" 361570
"361952" 361902
"361953" 360449
"361956" 361861
"361958" 361976
"361960" 361533
"361962" 361570
"361968" 361918
"361976" 362084
"361982" 362020
"361984" 361959
"361992" 361026
"361994" 361918
"361995" 362085
"362000" 362147
"362001" 362025
"362008" 361533
"362010" 361533
"362011" 362044
"362015" 361026
"362016" 361912
"362020" 362055
"362024" 360449
"362026" 361918
"362031" 362037
"362032" 361922
"362037" 362183
"362038" 361032
"362047" 361713
"362052" 362323
"362054" 361570
"362061" 362031
"362062" 361970
"362070" 361970
